"fishid","year","WY","region","age","sub_grp_sr_100","sub_grp_sr_150","clust_name_100","clust_name_150","selection"
"LFS_0269","1999",1999,"SUS",153,1,1,"HS","HS",0
"LFS_0272","1999",1999,"CAR",199,1,1,"HS","HS",0
"LFS_0277","1999",1999,"CAR",187,1,2,"HS","MS",0
"LFS_0301","1999",1999,"SUS",205,1,1,"HS","HS",0
"LFS_0329","2000",2000,"SUS",206,2,2,"MS","MS",1
"LFS_0361","2011",2011,"SUS",101,3,NA,"LS",NA,0
"LFS_0365","2011",2011,"SUS",126,1,NA,"HS",NA,0
"LFS_0366","2011",2011,"SUS",114,1,NA,"HS",NA,0
"LFS_0367","2011",2011,"SUS",117,2,NA,"MS",NA,0
"LFS_0371","2011",2011,"CBY",175,1,1,"HS","HS",0
"LFS_0372","2011",2011,"CBY",175,1,2,"HS","MS",0
"LFS_0378","2011",2011,"SPB",141,1,NA,"HS",NA,0
"LFS_0380","2011",2011,"SPB",159,1,2,"HS","MS",0
"LFS_0383","2011",2011,"SPB",107,2,NA,"MS",NA,0
"LFS_0385","2011",2011,"SPB",105,1,NA,"HS",NA,0
"LFS_0387","2011",2011,"SPB",123,1,NA,"HS",NA,0
"LFS_0388","2011",2011,"SPB",130,3,NA,"LS",NA,0
"LFS_0390","2011",2011,"SPB",146,1,NA,"HS",NA,0
"LFS_0391","2011",2011,"SPB",137,2,NA,"MS",NA,0
"LFS_0392","2011",2011,"SPB",158,3,3,"LS","LS",0
"LFS_0393","2011",2011,"SPB",127,2,NA,"MS",NA,0
"LFS_0394","2011",2011,"SPB",147,1,NA,"HS",NA,0
"LFS_0396","2011",2011,"SPB",139,2,NA,"MS",NA,0
"LFS_0397","2011",2011,"SPB",131,1,NA,"HS",NA,0
"LFS_0398","2011",2011,"SPB",116,2,NA,"MS",NA,0
"LFS_0399","2011",2011,"SPB",118,2,NA,"MS",NA,0
"LFS_0412","2011",2011,"SUS",126,2,NA,"MS",NA,0
"LFS_0417","2011",2011,"SUS",139,2,NA,"MS",NA,0
"LFS_0418","2011",2011,"SUS",134,2,NA,"MS",NA,0
"LFS_0421","2011",2011,"SUS",105,1,NA,"HS",NA,0
"LFS_0427","2011",2011,"SPB",150,1,2,"HS","MS",0
"LFS_0428","2011",2011,"SPB",143,2,NA,"MS",NA,0
"LFS_0430","2011",2011,"SPB",150,2,2,"MS","MS",0
"LFS_0431","2011",2011,"SPB",161,1,2,"HS","MS",0
"LFS_0432","2011",2011,"SPB",109,2,NA,"MS",NA,0
"LFS_0433","2011",2011,"SPB",122,2,NA,"MS",NA,0
"LFS_0434","2011",2011,"SPB",158,2,2,"MS","MS",0
"LFS_0435","2011",2011,"SPB",136,1,NA,"HS",NA,0
"LFS_0447","2011",2011,"CBY",157,2,2,"MS","MS",0
"LFS_0450","2011",2011,"CBY",211,1,1,"HS","HS",0
"LFS_0470","2011",2011,"CBY",187,1,2,"HS","MS",0
"LFS_0540","2011",2011,"CBY",229,1,2,"HS","MS",0
"LFS_0545","2011",2011,"CBY",189,1,2,"HS","MS",0
"LFS_0549","2011",2011,"CBY",142,2,NA,"MS",NA,0
"LFS_0561","2011",2011,"CBY",169,1,2,"HS","MS",0
"LFS_0618","2010",2010,"CAR",121,2,NA,"MS",NA,1
"LFS_0783","2013",2013,"ND",135,3,NA,"LS",NA,0
"LFS_0784","2013",2013,"ND",130,4,NA,"FW",NA,1
"LFS_0785","2013",2013,"ND",160,4,4,"FW","FW",1
"LFS_0786","2013",2013,"ND",154,4,4,"FW","FW",1
"LFS_0787","2013",2013,"ND",138,4,NA,"FW",NA,1
"LFS_0788","2013",2013,"ND",163,4,4,"FW","FW",1
"LFS_0791","2013",2013,"ND",139,4,NA,"FW",NA,1
"LFS_0792","2013",2013,"ND",184,4,4,"FW","FW",1
"LFS_0794","2013",2013,"ND",139,4,NA,"FW",NA,1
